feature,source,identified_name,isomer,Mode,Adduct,MMD,KEGGID,HMDBID
C18_101.024404810673_26.5472072496011,library,ACETOACETATE,NA,C18,M-H,,C00164,HMDB0000060
C18_101.024404810673_26.5472072496011,library,2-OXOBUTANOATE,NA,C18,M-H,,C00109,HMDB0000005
C18_101.060771783514_33.2974601878257,library,PENTANOATE,NA,C18,M-H,,C00803,HMDB0000892
C18_102.056066169871_22.7226744566593,library,2-AMINO-2-METHYLPROPANOATE,Y,C18,M-H,Y,C03665,HMDB0001906
C18_102.056066169871_22.7226744566593,library,4-AMINOBUTANOATE,Y,C18,M-H,Y,C00334,HMDB0000112
C18_102.056066169871_22.7226744566593,library,4-AMINOBUTANOATE,Y,C18,M-H,Y,C00334,HMDB0000112
C18_102.056066169871_22.7226744566593,library,3-AMINOISOBUTANOATE,Y,C18,M-H,Y,C05145,HMDB0003911
C18_103.003715477395_18.2914003941751,library,MALONATE,Y,C18,M-H,,C04025,HMDB0000691
C18_103.003715477395_18.2914003941751,library,HYDROXYPYRUVATE,Y,C18,M-H,,C00168,HMDB0001352
C18_103.040090045889_28.0576391298246,library,ALPHA-HYDROXYISOBUTYRIC ACID,Y,C18,M-H,,NA,HMDB0000729
C18_103.040090045889_28.0576391298246,library,3-HYDROXYBUTANOIC ACID,Y,C18,M-H,,C01089,HMDB0000011
C18_103.040090045889_28.0576391298246,library,2-HYDROXYBUTYRIC ACID,NA,C18,M-H,,C05984,HMDB0000008
C18_104.035357996175_28.0461477355041,library,L-SERINE,NA,C18,M-H,Y,C00065,HMDB0000187
C18_110.07238912442_36.295078012767,library,HISTAMINE,NA,C18,M-H,,C00388,HMDB0000870
C18_111.020016818832_26.0856629119073,library,URACIL,NA,C18,M-H,,C00106,HMDB0000300
C18_112.051678209249_25.571099628875,library,CREATININE,NA,C18,M-H,,C00791,HMDB0000562
C18_114.0196612282_22.1540643415415,library,MALEAMATE,NA,C18,M-H,,C01596,NA
C18_114.056047977847_28.7091682034316,library,L-PROLINE,NA,C18,M-H,Y,C00148,HMDB0000162
C18_115.003689174139_21.3887321151838,library,FUMARATE,Y,C18,M-H,,C00122,HMDB0000134
C18_115.003689174139_21.3887321151838,library,MALEIC ACID,Y,C18,M-H,,C01384,HMDB0000176
C18_115.076452568058_32.8604217723756,library,HEXANOATE,NA,C18,M-H,,C01585,HMDB0000535
C18_116.035328434598_21.6194549942887,library,N-ACETYLGLYCINE,NA,C18,M-H,,NA,HMDB0000532
C18_116.071716084541_32.1606589429505,library,L-NORVALINE,Y,C18,M-H,Y,C01826,HMDB0013716
