feature,contrast,F.score,p.value,FDR,Rank
HILIC_85.0283982538506_49.3627576283521,Interaction,1.5836482475286475,0.20530027230727863,1,1
C18_85.0295202700189_24.9083669970474,Interaction,1.410116441687337,0.2510706556631118,1,2
C18_86.024815548073_91.1307346956081,Interaction,0.9080831630410796,0.44401415289439283,1,3
HILIC_86.0600096990791_86.0350252624882,Interaction,1.791102840592136,0.16119496932998567,1,4
C18_86.0613043752015_224.881254838764,Interaction,0.5925302996110127,0.6228694585246372,1,5
HILIC_86.0963934260348_48.2367933565866,Interaction,1.056722336729163,0.37607903728821224,1,6
C18_87.008748837038_24.060863492984,Interaction,0.46326996666662196,0.7092227996977338,1,7
HILIC_87.0440664180162_292.996531918628,Interaction,0.5910526384222521,0.6238176571888787,1,8
C18_87.0451523923482_30.0180498985361,Interaction,1.0172500969050646,0.39314985333190616,1,9
C18_88.0040397353644_197.6190619694,Interaction,2.4241428887928835,0.07691789038871027,1,10
HILIC_88.0757072390906_85.9085842624815,Interaction,0.48429908878590383,0.6947401918241678,1,11
C18_88.9880435666205_31.5445860260535,Interaction,0.7492919739250281,0.5280355977642435,1,12
C18_89.024436719819_25.6010465145833,Interaction,0.15995383001367722,0.922749057417517,1,13
HILIC_89.0596264645825_22.182014269977,Interaction,0.9610468357645305,0.4186546752754454,1,14
HILIC_89.0596890957605_283.755391345988,Interaction,1.2783470139838728,0.292228511000087,1,15
HILIC_90.0549694518151_70.3351130353514,Interaction,0.09860833816584154,0.9604184436586326,1,16
HILIC_90.091345511095_109.269081368148,Interaction,2.3898844242366097,0.08005454000507839,1,17
HILIC_90.9766483380363_75.6578333907158,Interaction,0.1419242117091938,0.934351793499275,1,18
HILIC_91.0542144056091_58.2309647900585,Interaction,0.33773999366654056,0.7981025749599953,1,19
C18_93.0013408568376_201.641971521924,Interaction,0.935574473307274,0.43068838648124297,1,20
HILIC_93.0698645556002_27.3654063890941,Interaction,0.19188014846003398,0.9014323285380613,1,21
HILIC_94.0651034098533_47.8933859649306,Interaction,0.8196702137198739,0.48929724742071634,1,22
HILIC_95.0127230754417_83.9406464482971,Interaction,0.6949169431572579,0.5596088873586378,1,23
HILIC_95.0491192416874_58.5299210585591,Interaction,0.025658777296118585,0.9943724835274432,1,24
HILIC_95.0603688006595_90.2814948109762,Interaction,0.4804956924530209,0.6973483774806104,1,25
C18_96.009155829472_288.384359236239,Interaction,1.4682105574418056,0.23474526285480857,1,26
HILIC_96.0443422140013_91.0424473405088,Interaction,0.5427195401512785,0.6553544825492481,1,27
HILIC_96.0443794632954_295.298713225741,Interaction,2.5537137845564906,0.06613772818106092,1,28
HILIC_96.0783251826654_62.4211034509356,Interaction,0.9326549032434731,0.4320868392621413,1,29
C18_96.9600964099754_21.3293463366528,Interaction,0.5161504851386708,0.6731039983695618,1,30
HILIC_97.028437883201_283.560593478667,Interaction,0.2946114987720579,0.8290917994723412,1,31
HILIC_97.0284505045918_207.520258224008,Interaction,0.2407085968761297,0.8675198436999206,1,32
HILIC_97.0647803017479_28.645171260103,Interaction,0.3661047843489157,0.7777615160311581,1,33
C18_98.024786617981_280.631995336326,Interaction,2.9133956872930096,0.04357121533992632,1,34
C18_99.0064038538411_60.9043017099213,Interaction,0.5905708411813542,0.624127030403059,1,35
HILIC_99.0440388734844_284.158258638304,Interaction,1.6103985418893183,0.19900862233211347,1,36
HILIC_99.0804027009205_21.0183777854517,Interaction,0.3316718290471309,0.8024624314805839,1,37
HILIC_99.0804225924887_285.945244893565,Interaction,0.6029697690175032,0.6161982894897677,1,38
HILIC_100.039283165247_287.455483398222,Interaction,4.214236657770706,0.009949751447619289,1,39
HILIC_100.075634567049_36.2333927470486,Interaction,0.936199160464867,0.430389680317224,1,40
HILIC_100.11202817965_36.3467633079489,Interaction,1.143737821044992,0.34080448804444524,1,41
C18_101.024404810673_26.5472072496011,Interaction,1.2247086835041163,0.31075081378962155,1,42
HILIC_101.059721940168_294.491520331747,Interaction,0.2961545509126762,0.8279843279820708,1,43
HILIC_101.059712915613_95.9247687966243,Interaction,0.18996567840568704,0.9027337008990856,1,44
C18_101.060771783514_33.2974601878257,Interaction,0.2586507162075809,0.854803548271897,1,45
HILIC_101.070944979669_84.759203644256,Interaction,0.2494756229181466,0.861318715090394,1,46
HILIC_102.054944378965_77.7703186188898,Interaction,0.5191221103300958,0.6711049131684383,1,47
C18_102.056066169871_22.7226744566593,Interaction,0.7604409287523992,0.5217386719040222,1,48
HILIC_102.091326342836_55.1255367196625,Interaction,0.04349786979230779,0.9877870162583384,1,49
HILIC_102.127716515679_94.4023629876109,Interaction,1.2880434573416952,0.28899334718442343,1,50
C18_103.003715477395_18.2914003941751,Interaction,0.6683309176079772,0.5755634374278279,1,51
HILIC_103.038932728251_60.0367902882659,Interaction,0.312942592764936,0.8159245870789535,1,52
C18_103.040090045889_28.0576391298246,Interaction,0.6774582149546171,0.5700480854682881,1,53
HILIC_103.054184083176_49.1821458797801,Interaction,0.6144159779389455,0.6089401007463753,1,54
HILIC_104.008125583666_270.975505180789,Interaction,0.5218694588895203,0.6692597650801373,1,55
C18_104.035357996175_28.0461477355041,Interaction,0.5431491911283327,0.6550697912968377,1,56
HILIC_104.070569221783_54.7384193228796,Interaction,0.21105155107419787,0.8882679436615115,1,57
HILIC_104.992319723424_64.0513049135099,Interaction,2.8801537665172363,0.04527871427518126,1,58
HILIC_105.069900666681_286.119958641775,Interaction,4.851131941548831,0.004937470212765319,1,59
HILIC_106.049875652409_83.2485660116225,Interaction,0.9145229391762589,0.4408609028508128,1,60
HILIC_106.068375124244_166.484219601047,Interaction,1.4251457248439687,0.24674529479714702,1,61
HILIC_106.086246748333_50.8210591246551,Interaction,0.11349446402110387,0.9517989993126399,1,62
C18_107.050272026065_26.8572527880878,Interaction,3.467641448928435,0.023062496821604973,1,63
HILIC_107.085470842481_28.5869347120405,Interaction,0.13446402867265303,0.93903982973125,1,64
HILIC_108.044386599189_294.372880722605,Interaction,0.18606794803409965,0.9053750005991134,1,65
C18_108.045545636979_87.9768113778569,Interaction,0.38875019886074236,0.7615976760097638,1,66
HILIC_108.080731306472_38.3179249794503,Interaction,0.5360564377407344,0.659779184501406,1,67
HILIC_109.028443723037_270.507947776158,Interaction,0.47512163142323965,0.7010421957317512,1,68
C18_109.029532843221_90.061618937608,Interaction,0.8296283162990108,0.4840097289817128,1,69
C18_109.029495695892_291.548773979829,Interaction,1.5312513518074808,0.21819113889500122,1,70
