m.z,p.value,mode,r.t
85.0283982538506,0.20530027230727863,positive,49.3627576283521
85.0295202700189,0.2510706556631118,negative,24.9083669970474
86.024815548073,0.44401415289439283,negative,91.1307346956081
86.0600096990791,0.16119496932998567,positive,86.0350252624882
86.0613043752015,0.6228694585246372,negative,224.881254838764
86.0963934260348,0.37607903728821224,positive,48.2367933565866
87.008748837038,0.7092227996977338,negative,24.060863492984
87.0440664180162,0.6238176571888787,positive,292.996531918628
87.0451523923482,0.39314985333190616,negative,30.0180498985361
88.0040397353644,0.07691789038871027,negative,197.6190619694
88.0757072390906,0.6947401918241678,positive,85.9085842624815
88.9880435666205,0.5280355977642435,negative,31.5445860260535
89.024436719819,0.922749057417517,negative,25.6010465145833
89.0596264645825,0.4186546752754454,positive,22.182014269977
89.0596890957605,0.292228511000087,positive,283.755391345988
90.0549694518151,0.9604184436586326,positive,70.3351130353514
90.091345511095,0.08005454000507839,positive,109.269081368148
90.9766483380363,0.934351793499275,positive,75.6578333907158
91.0542144056091,0.7981025749599953,positive,58.2309647900585
93.0013408568376,0.43068838648124297,negative,201.641971521924
93.0698645556002,0.9014323285380613,positive,27.3654063890941
94.0651034098533,0.48929724742071634,positive,47.8933859649306
95.0127230754417,0.5596088873586378,positive,83.9406464482971
95.049119241687393,0.9943724835274432,positive,58.5299210585591
95.0603688006595,0.6973483774806104,positive,90.2814948109762
96.009155829472,0.23474526285480857,negative,288.384359236239
96.0443422140013,0.6553544825492481,positive,91.0424473405088
96.0443794632954,0.06613772818106092,positive,295.298713225741
96.0783251826654,0.4320868392621413,positive,62.4211034509356
96.9600964099754,0.6731039983695618,negative,21.3293463366528
97.028437883201,0.8290917994723412,positive,283.560593478667
97.0284505045918,0.8675198436999206,positive,207.520258224008
97.0647803017479,0.7777615160311581,positive,28.645171260103
98.024786617981,0.04357121533992632,negative,280.631995336326
99.0064038538411,0.624127030403059,negative,60.9043017099213
99.0440388734844,0.19900862233211347,positive,284.158258638304
99.0804027009205,0.8024624314805839,positive,21.0183777854517
99.0804225924887,0.6161982894897677,positive,285.945244893565
100.039283165247,0.009949751447619289,positive,287.455483398222
100.075634567049,0.430389680317224,positive,36.2333927470486
100.11202817965,0.34080448804444524,positive,36.3467633079489
101.024404810673,0.31075081378962155,negative,26.5472072496011
101.059721940168,0.8279843279820708,positive,294.491520331747
101.059712915613,0.9027337008990856,positive,95.9247687966243
101.060771783514,0.854803548271897,negative,33.2974601878257
101.070944979669,0.861318715090394,positive,84.759203644256
102.054944378965,0.6711049131684383,positive,77.7703186188898
102.056066169871,0.5217386719040222,negative,22.7226744566593
102.091326342836,0.9877870162583384,positive,55.1255367196625
102.127716515679,0.28899334718442343,positive,94.4023629876109
103.003715477395,0.5755634374278279,negative,18.2914003941751
103.038932728251,0.8159245870789535,positive,60.0367902882659
103.040090045889,0.5700480854682881,negative,28.0576391298246
103.054184083176,0.6089401007463753,positive,49.1821458797801
104.008125583666,0.6692597650801373,positive,270.975505180789
104.035357996175,0.6550697912968377,negative,28.0461477355041
104.070569221783,0.8882679436615115,positive,54.7384193228796
104.992319723424,0.04527871427518126,positive,64.0513049135099
105.069900666681,0.004937470212765319,positive,286.119958641775
106.049875652409,0.4408609028508128,positive,83.2485660116225
106.068375124244,0.24674529479714702,positive,166.484219601047
106.086246748333,0.9517989993126399,positive,50.8210591246551
107.050272026065,0.023062496821604973,negative,26.8572527880878
107.085470842481,0.93903982973125,positive,28.5869347120405
108.044386599189,0.9053750005991134,positive,294.372880722605
108.045545636979,0.7615976760097638,negative,87.9768113778569
108.080731306472,0.659779184501406,positive,38.3179249794503
109.028443723037,0.7010421957317512,positive,270.507947776158
109.029532843221,0.4840097289817128,negative,90.061618937608
109.029495695892,0.21819113889500122,negative,291.548773979829
109.985991239671,0.9447313214074653,negative,59.0742156193211
110.024790931654,0.8086422364637795,negative,289.053577505297
110.024774648875,0.8057078867819125,negative,96.0111907298408
110.027024299473,0.070684545487753,positive,76.4363292976869
110.034886618901,0.1304679619954859,positive,46.7030053315073
110.057100864772,0.11608307338877973,positive,102.100457110496
110.059994489462,0.8784438320483543,positive,38.2919873651856
110.060075958365,0.1880330041955935,positive,296.127202061257
110.07238912442,0.6182349343460902,negative,36.295078012767
111.008790199802,0.3360223012080664,negative,24.2942383015937
111.020016818832,0.12311395872949575,negative,26.0856629119073
111.044013383113,0.7706891348168615,positive,28.9758580319263
111.044056520852,0.0789035065600484,positive,282.924323039856
111.055295383678,0.13877476652725204,positive,106.259344156717
111.077575365425,0.555988062094257,positive,102.107801981628
111.091602981547,0.9953748523305752,positive,40.8099578720852
112.039319527911,0.5040471935028712,positive,287.763500681126
112.040468674517,0.5338014913219956,negative,290.066981881101
112.050556239361,0.9641972954548385,positive,262.762548946029
112.051678209249,0.5635964713759225,negative,25.571099628875
112.9558867864,0.6418623317646824,positive,292.220682815157
112.980916289958,0.6321642934237324,negative,71.870616282665
113.024452920111,0.9913613989124415,negative,27.8125213508639
113.034576754656,0.8960729543581156,positive,288.162984857641
113.059646701316,0.950819543731614,positive,28.5823538203532
113.060851914231,0.9478690237039704,negative,288.361525210975
114.0196612282,0.6811762826276172,negative,22.1540643415415
114.054982427288,0.23671350188511459,positive,295.975236365482
114.056047977847,0.15321218157708605,negative,28.7091682034316
114.102615344399,0.44212907894575326,positive,216.252670258221
115.003689174139,0.6238271113334228,negative,21.3887321151838
115.04007962544,0.6540377112195244,negative,189.808809179665
115.051323027058,0.9421773673318912,negative,285.680997920304
115.075327317972,0.9736247122733808,positive,28.9152694634414
115.076485663254,0.9903293475189568,negative,286.418781519174
115.998985149711,0.5341044898320775,negative,295.147865912406
116.035328434598,0.06251727341600523,negative,21.6194549942887
116.04657006625,0.3862905633833008,negative,26.929876743966
116.05058336122801,0.041014849934036444,negative,29.0358036049835
116.070583889372,0.602300350238324,positive,58.924856258073
117.01936898612,0.9920910376951484,negative,23.4537145220123
117.055740920098,0.8660029231844002,negative,25.9640984136594
117.069854303853,0.789401599948851,positive,30.595138851259
