m.z,p.value,mode,r.t
85.0283982538506,0.8673071696193366,positive,49.3627576283521
85.0295202700189,0.7346143233433065,negative,24.9083669970474
86.024815548073,0.8928570755386445,negative,91.1307346956081
86.0600096990791,0.267785198786773,positive,86.0350252624882
86.0613043752015,0.992936005991774,negative,224.881254838764
86.0963934260348,0.6341410694201159,positive,48.2367933565866
87.008748837038,0.9881539770603323,negative,24.060863492984
87.0440664180162,0.8304437122591017,positive,292.996531918628
87.0451523923482,0.9740648222941191,negative,30.0180498985361
88.0040397353644,0.05053886355358733,negative,197.6190619694
88.0757072390906,0.8886390120221295,positive,85.9085842624815
88.9880435666205,0.6771644214696748,negative,31.5445860260535
89.024436719819,0.8711752063852208,negative,25.6010465145833
89.0596264645825,0.8386950697376874,positive,22.182014269977
89.0596890957605,0.6027025772043211,positive,283.755391345988
90.0549694518151,0.9764035927546879,positive,70.3351130353514
90.091345511095,0.012245364165677525,positive,109.269081368148
90.9766483380363,0.8981774108045388,positive,75.6578333907158
91.0542144056091,0.32518385451579546,positive,58.2309647900585
93.0013408568376,0.6739784941310112,negative,201.641971521924
93.0698645556002,0.9051601938940862,positive,27.3654063890941
94.0651034098533,0.90364853070648,positive,47.8933859649306
95.0127230754417,0.9874951672213543,positive,83.9406464482971
95.049119241687393,0.5802813004670722,positive,58.5299210585591
95.0603688006595,0.7059209952260668,positive,90.2814948109762
96.009155829472,0.2846095971954024,negative,288.384359236239
96.0443422140013,0.9283733242923571,positive,91.0424473405088
96.0443794632954,0.23796295051834537,positive,295.298713225741
96.0783251826654,0.9626412566808272,positive,62.4211034509356
96.9600964099754,0.9587576444637105,negative,21.3293463366528
97.028437883201,0.7750811222362172,positive,283.560593478667
97.0284505045918,0.6079671143072034,positive,207.520258224008
97.0647803017479,0.07702093582990499,positive,28.645171260103
98.024786617981,0.040279171257420546,negative,280.631995336326
99.0064038538411,0.924356265705522,negative,60.9043017099213
99.0440388734844,0.04442273203741067,positive,284.158258638304
99.0804027009205,0.9079302132489078,positive,21.0183777854517
99.0804225924887,0.2018428489122273,positive,285.945244893565
100.039283165247,0.12011214282034396,positive,287.455483398222
100.075634567049,0.7873206698794348,positive,36.2333927470486
100.11202817965,0.015271617760180486,positive,36.3467633079489
101.024404810673,0.6670533890296559,negative,26.5472072496011
101.059721940168,0.9155961081206162,positive,294.491520331747
101.059712915613,0.7083521338463841,positive,95.9247687966243
101.060771783514,0.836580774078635,negative,33.2974601878257
101.070944979669,0.939125627562406,positive,84.759203644256
102.054944378965,0.9169090119210288,positive,77.7703186188898
102.056066169871,0.8558628465282041,negative,22.7226744566593
102.091326342836,0.838231256119502,positive,55.1255367196625
102.127716515679,0.9016763386416595,positive,94.4023629876109
103.003715477395,0.6605564103132129,negative,18.2914003941751
103.038932728251,0.9504746138755307,positive,60.0367902882659
103.040090045889,0.6930958564871512,negative,28.0576391298246
103.054184083176,0.980869954671526,positive,49.1821458797801
104.008125583666,0.39502664901971896,positive,270.975505180789
104.035357996175,0.9862076011207863,negative,28.0461477355041
104.070569221783,0.9931427112549677,positive,54.7384193228796
104.992319723424,0.33079416617837015,positive,64.0513049135099
105.069900666681,0.011586876906213059,positive,286.119958641775
106.049875652409,0.9905798300484578,positive,83.2485660116225
106.068375124244,0.30553100763687724,positive,166.484219601047
106.086246748333,0.9277422221984284,positive,50.8210591246551
107.050272026065,0.2567300648426468,negative,26.8572527880878
107.085470842481,0.19898192062255915,positive,28.5869347120405
108.044386599189,0.2884692248827488,positive,294.372880722605
108.045545636979,0.9047073595454965,negative,87.9768113778569
108.080731306472,0.7231485965604376,positive,38.3179249794503
109.028443723037,0.9948709399390365,positive,270.507947776158
109.029532843221,0.7161078789559009,negative,90.061618937608
109.029495695892,0.48671927999972575,negative,291.548773979829
109.985991239671,0.9806446761565177,negative,59.0742156193211
110.024790931654,0.8981752063894569,negative,289.053577505297
110.024774648875,0.744320095163395,negative,96.0111907298408
110.027024299473,0.5446642978632711,positive,76.4363292976869
110.034886618901,0.5778313776932398,positive,46.7030053315073
110.057100864772,0.2592825425597045,positive,102.100457110496
110.059994489462,0.9572607461268774,positive,38.2919873651856
110.060075958365,0.14154780385361251,positive,296.127202061257
110.07238912442,0.8160671962729565,negative,36.295078012767
111.008790199802,0.9813341336340338,negative,24.2942383015937
111.020016818832,0.8821109651253843,negative,26.0856629119073
111.044013383113,0.7221482909888856,positive,28.9758580319263
111.044056520852,0.1053407887704447,positive,282.924323039856
111.055295383678,0.7533562096672182,positive,106.259344156717
111.077575365425,0.2890068510180064,positive,102.107801981628
111.091602981547,0.729998901920698,positive,40.8099578720852
112.039319527911,0.1708820383625497,positive,287.763500681126
112.040468674517,0.23676898293455795,negative,290.066981881101
112.050556239361,0.99641606474722,positive,262.762548946029
112.051678209249,0.363915932947125,negative,25.571099628875
112.9558867864,0.7362179225132233,positive,292.220682815157
112.980916289958,0.732914003077428,negative,71.870616282665
113.024452920111,0.9376307370297254,negative,27.8125213508639
113.034576754656,0.36385908262370464,positive,288.162984857641
113.059646701316,0.11001006686914043,positive,28.5823538203532
113.060851914231,0.7070589996242447,negative,288.361525210975
114.0196612282,0.7842640694323573,negative,22.1540643415415
114.054982427288,0.09242732014133824,positive,295.975236365482
114.056047977847,0.7414227233712603,negative,28.7091682034316
114.102615344399,0.5152891708560756,positive,216.252670258221
115.003689174139,0.8532873485518295,negative,21.3887321151838
115.04007962544,0.8931500163055337,negative,189.808809179665
115.051323027058,0.6470667945854807,negative,285.680997920304
115.075327317972,0.040861764899211304,positive,28.9152694634414
115.076485663254,0.6799185870095515,negative,286.418781519174
115.998985149711,0.20182300207536105,negative,295.147865912406
116.035328434598,0.03653302534282624,negative,21.6194549942887
116.04657006625,0.6717514598435379,negative,26.929876743966
116.05058336122801,0.007267857653319525,negative,29.0358036049835
116.070583889372,0.8215617342517133,positive,58.924856258073
117.01936898612,0.8417332862233882,negative,23.4537145220123
117.055740920098,0.4413926847728966,negative,25.9640984136594
117.069854303853,0.3324970811828715,positive,30.595138851259
117.071607291128,0.23164678415196216,negative,248.539321760895
117.090984892665,0.21652818094892273,positive,94.9535730701852
117.102229826406,0.9148741861592586,positive,89.8752306803247
118.05102256941,0.981910897558921,negative,28.6776792705149
118.061185861119,0.35278081510813175,positive,80.396276598971
118.086213874401,0.7712745955258002,positive,65.8643870892644
118.122575063554,0.115199685458542,positive,40.3834327023856
118.971635579902,0.5811085211151182,positive,20.044262330998
119.016095932656,0.27351169519662594,positive,60.8187275344314
119.034952970898,0.7983409710350869,negative,26.0995523863469
119.050240954844,0.790482197816868,negative,27.2826875981108
120.012460700876,0.49314849410593353,negative,29.027520585875
120.055647017061,0.26948856788058934,positive,288.491819376709
120.06551347401,0.6471387248401491,positive,73.4803573299029
120.101905299356,0.9362509415245446,positive,50.5691763185807
121.028411972563,0.7270115408737479,positive,20.4447987544673
121.028481030383,0.7281933102562284,positive,166.115420728684
121.029535463785,0.11820393080821859,negative,285.265134420498
121.029505768162,0.6917850904174561,negative,227.664910179183
121.064800086066,0.5859303261881303,positive,284.621615796045
121.101143704154,0.04729960982538362,positive,28.296168905849
122.024777458925,0.9880306489449027,negative,120.358592978176
122.026990701039,0.4424203347875302,positive,62.6460154625112
122.060031775516,0.10821774591965465,positive,291.895949155826
122.081183403016,0.4368194142641397,positive,20.156097529039
122.096394386556,0.8945792013944842,positive,35.6861352730482
122.98530565179,0.9443022014665943,negative,35.0064776696614
123.008832658177,0.30896984262659316,negative,288.246209950871
123.020056411494,0.7866891398718222,negative,294.053508069851
123.055215009781,0.8507731679203885,positive,38.189073665485
123.080400629297,0.051815478428431434,positive,30.7803993596584
123.091686445192,0.28647842931400364,positive,246.561561524899
124.007376460119,0.922365121285216,negative,26.0531955778228
124.015828742278,0.8204875878871103,positive,95.1866766315924
124.039359651743,0.7162363961833231,positive,145.77506184789
124.051674741195,0.1293016191081472,negative,82.033093895425
124.075728937417,0.25319626511254395,positive,284.133074647362
124.075716338764,0.5293593477741562,positive,36.9633635031312
124.086983126717,0.7650841272841931,positive,123.059936117414
124.937529483739,0.04842385853469672,positive,83.4725037240447
124.991362735817,0.4611073977094927,negative,23.2453944563841
124.999874041256,0.4693649419511501,positive,181.239416415998
125.024425296902,0.4519375977801987,negative,288.308567605504
125.024404626842,0.40549385860148224,negative,28.5725813088933
125.035650798898,0.6438395291262529,negative,288.860161201506
125.059663676111,0.6592330915388847,positive,33.4156187255832
125.097176842539,0.8020082583964783,negative,292.453979128728
126.011633052343,0.9601329006741768,negative,25.8506908115669
126.019693283153,0.10948562245478191,negative,286.75677505896
126.021937830173,0.9232489324748645,positive,62.3581472122722
126.030928197782,0.6849195344695092,negative,286.976959021377
126.054941853353,0.8672795722643432,positive,201.866843349318
126.055003588632,0.060102797862841124,positive,296.801279550178
126.056105789903,0.9321117938395174,negative,90.243594275798
126.066157058016,0.6592501504277068,positive,283.987809112933
126.10257047836,0.3761207173610993,positive,88.9366378297843
126.127760263608,0.8567884239870696,positive,175.385360489544
126.99567111008,0.8915537979673932,negative,59.9840521296118
127.014952703468,0.7350788492893741,negative,272.904945445851
127.02618248264,0.3691700717722339,negative,290.223114612372
127.038962169443,0.2736466008258258,positive,294.727496871105
127.038970227662,0.17858834726709222,positive,125.668398475637
127.040079651833,0.997544502540979,negative,21.0420170967364
127.050225081474,0.8467088825667364,positive,284.342675647612
127.061437155989,0.13395025758654,positive,284.462527342869
127.075322240844,0.5011326935062514,positive,27.2882112953571
127.076471186356,0.9819704220781262,negative,23.894035467564
127.111727424357,0.12737308142523204,positive,21.077503547993
127.996581504156,0.7675615100605973,negative,60.118069644417
128.010209307489,0.6487868065994655,negative,290.759548598758
128.019279118451,0.8801455492673027,positive,273.779144375523
128.026133341762,0.961833088076563,positive,62.3883082829999
128.03533382633,0.6078489740703448,negative,22.1248943197845
128.045405309949,0.9911245879749409,positive,32.9587823401837
128.070584812335,0.7212035418720922,positive,149.590062514543
128.070629882005,0.2789234522270082,positive,38.5770245200722
128.071787175285,0.13259626705197702,negative,94.4476250204852
128.106971383543,0.11479184467753674,positive,175.668780686528
128.950781771456,0.5306126405933633,positive,22.8473381400241
129.019361823613,0.18173870583258808,negative,24.7524252234093
129.030612431531,0.20240530488060912,negative,89.1858255718487
129.030628370604,0.4881540017127134,negative,292.263775396584
129.065824524298,0.9663295751464678,positive,77.1464092187605
129.066989779821,0.8534889431156956,negative,43.3042525124538
129.091031676522,0.8062038622204534,positive,28.9501319021468
129.092141998814,0.550642684767965,negative,32.6261318391982
129.102278071794,0.4671021554582393,positive,238.433493098105
130.014580755628,0.7141638405072956,negative,284.013702008995
130.031677703273,0.24580625416869567,positive,83.9312473103678
130.049892683741,0.8175379967762404,positive,81.1576069990614
130.062168791375,0.7244355908628881,negative,27.3745145880316
130.066233405593,0.8874985250690974,negative,28.8274592556234
130.086286018044,0.37474217625362705,positive,214.438039274575
130.086295936466,0.7451200350801628,positive,59.9147597020713
130.087360432386,0.8735281721728518,negative,32.4329434128114
130.097540092853,0.19367776925925553,positive,174.627001375932
130.097525215178,0.4486455123323063,positive,103.694712357134
130.122747888988,0.1911972934446419,positive,95.3237696592632
130.159027532906,0.5879511685518144,positive,31.3545390993787
130.957715718859,0.6546303710148618,negative,77.6788264313408
130.966471644869,0.11588959649376109,positive,295.58062683944
131.009809404651,0.9047511451506257,negative,283.659868742875
131.033902748781,0.043021029017935516,positive,82.2663507094968
