feature,p.value_tx,FDR_tx,logFC_tx,p.value_time,FDR_time,p.value_interaction,FDR_interaction,tx,time,Mean_Ice_15,Mean_Ice_30,Mean_Ice_60,Mean_Ice_90,Mean_RT_15,Mean_RT_30,Mean_RT_60,Mean_RT_90
HILIC_85.0283982538506_49.3627576283521,0.5089543437968547,0.9969365741869346,0.1766512408131515,0.8673071696193366,1,0.20530027230727863,1,Ice,15,26.24252710507548,NA,NA,NA,NA,NA,NA,NA
HILIC_85.0283982538506_49.3627576283521,0.5089543437968547,0.9969365741869346,0.1766512408131515,0.8673071696193366,1,0.20530027230727863,1,Ice,30,NA,26.32348265748516,NA,NA,NA,NA,NA,NA
HILIC_85.0283982538506_49.3627576283521,0.5089543437968547,0.9969365741869346,0.1766512408131515,0.8673071696193366,1,0.20530027230727863,1,Ice,60,NA,NA,26.139784405106603,NA,NA,NA,NA,NA
HILIC_85.0283982538506_49.3627576283521,0.5089543437968547,0.9969365741869346,0.1766512408131515,0.8673071696193366,1,0.20530027230727863,1,Ice,90,NA,NA,NA,26.341921645362497,NA,NA,NA,NA
HILIC_85.0283982538506_49.3627576283521,0.5089543437968547,0.9969365741869346,0.1766512408131515,0.8673071696193366,1,0.20530027230727863,1,RT,15,NA,NA,NA,NA,26.419178345888632,NA,NA,NA
HILIC_85.0283982538506_49.3627576283521,0.5089543437968547,0.9969365741869346,0.1766512408131515,0.8673071696193366,1,0.20530027230727863,1,RT,30,NA,NA,NA,NA,NA,26.389258585949445,NA,NA
HILIC_85.0283982538506_49.3627576283521,0.5089543437968547,0.9969365741869346,0.1766512408131515,0.8673071696193366,1,0.20530027230727863,1,RT,60,NA,NA,NA,NA,NA,NA,26.202820387673334,NA
HILIC_85.0283982538506_49.3627576283521,0.5089543437968547,0.9969365741869346,0.1766512408131515,0.8673071696193366,1,0.20530027230727863,1,RT,90,NA,NA,NA,NA,NA,NA,NA,25.76996486168451
C18_85.0295202700189_24.9083669970474,0.5112643520708705,0.9969365741869346,0.1280117838414362,0.7346143233433065,1,0.2510706556631118,1,Ice,15,24.98029757839314,NA,NA,NA,NA,NA,NA,NA
C18_85.0295202700189_24.9083669970474,0.5112643520708705,0.9969365741869346,0.1280117838414362,0.7346143233433065,1,0.2510706556631118,1,Ice,30,NA,25.16202198520477,NA,NA,NA,NA,NA,NA
C18_85.0295202700189_24.9083669970474,0.5112643520708705,0.9969365741869346,0.1280117838414362,0.7346143233433065,1,0.2510706556631118,1,Ice,60,NA,NA,25.17586579962867,NA,NA,NA,NA,NA
C18_85.0295202700189_24.9083669970474,0.5112643520708705,0.9969365741869346,0.1280117838414362,0.7346143233433065,1,0.2510706556631118,1,Ice,90,NA,NA,NA,25.119882648520033,NA,NA,NA,NA
C18_85.0295202700189_24.9083669970474,0.5112643520708705,0.9969365741869346,0.1280117838414362,0.7346143233433065,1,0.2510706556631118,1,RT,15,NA,NA,NA,NA,25.10830936223458,NA,NA,NA
C18_85.0295202700189_24.9083669970474,0.5112643520708705,0.9969365741869346,0.1280117838414362,0.7346143233433065,1,0.2510706556631118,1,RT,30,NA,NA,NA,NA,NA,25.236536990416027,NA,NA
C18_85.0295202700189_24.9083669970474,0.5112643520708705,0.9969365741869346,0.1280117838414362,0.7346143233433065,1,0.2510706556631118,1,RT,60,NA,NA,NA,NA,NA,NA,24.820774111406227,NA
C18_85.0295202700189_24.9083669970474,0.5112643520708705,0.9969365741869346,0.1280117838414362,0.7346143233433065,1,0.2510706556631118,1,RT,90,NA,NA,NA,NA,NA,NA,NA,25.069749927346457
C18_86.024815548073_91.1307346956081,0.616457888028712,0.9969365741869346,0.13099488609055462,0.8928570755386445,1,0.44401415289439283,1,Ice,15,21.128554786510758,NA,NA,NA,NA,NA,NA,NA
C18_86.024815548073_91.1307346956081,0.616457888028712,0.9969365741869346,0.13099488609055462,0.8928570755386445,1,0.44401415289439283,1,Ice,30,NA,21.32561967294604,NA,NA,NA,NA,NA,NA
C18_86.024815548073_91.1307346956081,0.616457888028712,0.9969365741869346,0.13099488609055462,0.8928570755386445,1,0.44401415289439283,1,Ice,60,NA,NA,21.270002682366144,NA,NA,NA,NA,NA
C18_86.024815548073_91.1307346956081,0.616457888028712,0.9969365741869346,0.13099488609055462,0.8928570755386445,1,0.44401415289439283,1,Ice,90,NA,NA,NA,21.250285029559272,NA,NA,NA,NA
C18_86.024815548073_91.1307346956081,0.616457888028712,0.9969365741869346,0.13099488609055462,0.8928570755386445,1,0.44401415289439283,1,RT,15,NA,NA,NA,NA,21.259549672601313,NA,NA,NA
C18_86.024815548073_91.1307346956081,0.616457888028712,0.9969365741869346,0.13099488609055462,0.8928570755386445,1,0.44401415289439283,1,RT,30,NA,NA,NA,NA,NA,21.16550484005438,NA,NA
