feature,contrast,F.score,p.value,FDR,Rank
HILIC_85.0283982538506_49.3627576283521,Time_effect,0.24100988656310832,0.8673071696193366,1,1
C18_85.0295202700189_24.9083669970474,Time_effect,0.4268810110590169,0.7346143233433065,1,2
C18_86.024815548073_91.1307346956081,Time_effect,0.20440577397018134,0.8928570755386445,1,3
HILIC_86.0600096990791_86.0350252624882,Time_effect,1.3542832366425783,0.267785198786773,1,4
C18_86.0613043752015_224.881254838764,Time_effect,0.02993881790851326,0.992936005991774,1,5
HILIC_86.0963934260348_48.2367933565866,Time_effect,0.5750606434997638,0.6341410694201159,1,6
C18_87.008748837038_24.060863492984,Time_effect,0.04259795039038211,0.9881539770603323,1,7
HILIC_87.0440664180162_292.996531918628,Time_effect,0.29272743134152346,0.8304437122591017,1,8
C18_87.0451523923482_30.0180498985361,Time_effect,0.07321920794486288,0.9740648222941191,1,9
C18_88.0040397353644_197.6190619694,Time_effect,2.785245649980858,0.05053886355358733,1,10
HILIC_88.0757072390906_85.9085842624815,Time_effect,0.21051553734920767,0.8886390120221295,1,11
C18_88.9880435666205_31.5445860260535,Time_effect,0.5101302185454883,0.6771644214696748,1,12
C18_89.024436719819_25.6010465145833,Time_effect,0.23552271731710805,0.8711752063852208,1,13
HILIC_89.0596264645825_22.182014269977,Time_effect,0.28121553256961745,0.8386950697376874,1,14
HILIC_89.0596890957605_283.755391345988,Time_effect,0.6243284993285925,0.6027025772043211,1,15
HILIC_90.0549694518151_70.3351130353514,Time_effect,0.06854745532584684,0.9764035927546879,1,16
HILIC_90.091345511095_109.269081368148,Time_effect,4.0281858678019855,0.012245364165677525,1,17
HILIC_90.9766483380363_75.6578333907158,Time_effect,0.1966522124642105,0.8981774108045388,1,18
HILIC_91.0542144056091_58.2309647900585,Time_effect,1.1849534306922753,0.32518385451579546,1,19
C18_93.0013408568376_201.641971521924,Time_effect,0.5148521497449989,0.6739784941310112,1,20
HILIC_93.0698645556002_27.3654063890941,Time_effect,0.1863855565099357,0.9051601938940862,1,21
HILIC_94.0651034098533_47.8933859649306,Time_effect,0.18861753743230927,0.90364853070648,1,22
HILIC_95.0127230754417_83.9406464482971,Time_effect,0.044207894216407743,0.9874951672213543,1,23
HILIC_95.0491192416874_58.5299210585591,Time_effect,0.6605747202140395,0.5802813004670722,1,24
HILIC_95.0603688006595_90.2814948109762,Time_effect,0.4680453335356413,0.7059209952260668,1,25
C18_96.009155829472_288.384359236239,Time_effect,1.301347746853005,0.2846095971954024,1,26
HILIC_96.0443422140013_91.0424473405088,Time_effect,0.15128460070395397,0.9283733242923571,1,27
HILIC_96.0443794632954_295.298713225741,Time_effect,1.4564583728618206,0.23796295051834537,1,28
HILIC_96.0783251826654_62.4211034509356,Time_effect,0.09464729282544246,0.9626412566808272,1,29
C18_96.9600964099754_21.3293463366528,Time_effect,0.1015323745195727,0.9587576444637105,1,30
HILIC_97.028437883201_283.560593478667,Time_effect,0.3698521177693918,0.7750811222362172,1,31
HILIC_97.0284505045918_207.520258224008,Time_effect,0.6159575420664798,0.6079671143072034,1,32
HILIC_97.0647803017479_28.645171260103,Time_effect,2.422995157367382,0.07702093582990499,1,33
C18_98.024786617981_280.631995336326,Time_effect,2.9814133721360845,0.040279171257420546,1,34
C18_99.0064038538411_60.9043017099213,Time_effect,0.15748891090206701,0.924356265705522,1,35
HILIC_99.0440388734844_284.158258638304,Time_effect,2.8966553348689668,0.04442273203741067,1,36
HILIC_99.0804027009205_21.0183777854517,Time_effect,0.182281099255239,0.9079302132489078,1,37
HILIC_99.0804225924887_285.945244893565,Time_effect,1.5982474307625645,0.2018428489122273,1,38
HILIC_100.039283165247_287.455483398222,Time_effect,2.0427355761017787,0.12011214282034396,1,39
